dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	el16	el17	el18	el19	el20	el21	el22	el23	el24	el25	el26	el27	el28	el29	el30	el31	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	stat45	stat46	stat47	stat48	stat49	stat50	stat51	stat52	stat53	stat54	stat55	stat56	stat57	stat58	stat59	stat60	stat61	stat62	stat63	stat64	stat65	stat66	stat67	stat68	stat69	stat70	stat71	stat72	stat73	stat74	stat75	stat76	class
0.0098468	0.19939	0.52118	0.49431	0.7837	0.66382	0.44823	0.72909	0.86065	0.74631	0.68491	0.6237	0.57585	0.52397	0.61662	0.65339	0.63758	0.60499	0.74711	0.80089	0.77475	0.55854	0.42301	0.11126	0.043723	0.062429	0.056229	0.054018	0.052031	0.065273	0.055136	0.059592	0.063887	0.86065	0.67884	0.36532	-0.31352	0.080129	0.70842	0.77183	0.83674	0.89503	0.9148	0.19452	0.20973	0.54393	0.41356	0.8797	0.046071	0.099141	0.20076	0.37369	0.3166	0.21493	0.34996	0.40859	0.35388	0.22494	0.19186	0.18203	0.20766	0.2922	0.30971	0.30205	0.26499	0.23604	0.25552	0.12438	0.056743	0.11438	0.029958	0.0046484	0.014243	0.0054376	0.0036971	0.0022566	0.0052088	0.019116	0.0046222	0.0062229	0.028989	0.31051	0.072561	0.24476	0.058663	0.078878	0.0080826	0.13029	0.13	0.12345	0.12225	0.13574	0.13725	0.13794	0.139	0.13692	0.13388	0.13805	0.13769	0.13836	0.13736	0.13421	0.13336	0.10289	0.067346	0.13803	0.13929	-0.11192	0.13099	0.038284	-0.022347	0.038596	0.11051	-0.13923	-0.14046	0.11515	0.27784	0.026557	0.327	0.34571	0.03579	-0.043291	0.10185	0.060657	1.4258	1176
0.0097742	0.19491	0.51697	0.48501	0.7815	0.66291	0.44692	0.72813	0.85978	0.7464	0.68466	0.62315	0.57561	0.52382	0.61637	0.65275	0.63743	0.60484	0.74726	0.80074	0.77484	0.55802	0.42238	0.11064	0.043654	0.063105	0.055989	0.052746	0.050993	0.064973	0.055987	0.060089	0.063946	0.85978	0.54492	0.26404	-0.28088	0.079156	0.57005	0.62411	0.67983	0.73044	0.75	0.24585	0.24786	0.61788	0.83887	0.84294	0.080727	0.038484	0.058909	0.13408	0.13815	0.095273	0.17734	0.1241	0.13766	0.12369	0.091031	0.17545	0.24792	0.219	0.23135	0.19913	0.27983	0.35331	0.37851	0.36622	0.26379	0.19479	0.029699	0.0028393	0.0012174	0.0027527	0.0077166	0.0055534	0.0063761	0.0034826	0.019342	0.0047573	0.04797	0.25174	0.060899	0.19855	0.12326	0.13742	-0.089526	0.13118	0.13922	0.14136	0.1412	0.081761	0.10789	0.10196	0.10048	0.13477	0.1396	0.13775	0.13855	0.13352	0.13983	0.14087	0.14116	0.14132	0.14109	0.13758	0.12869	0.079882	0.10583	-0.0024007	0.13281	-0.088918	-0.11268	-0.11638	0.14139	-0.14092	0.12753	0.060245	0.51376	0.3615	-0.026969	-0.027531	0.242	0.085624	1.3932	667.5
0.016223	0.50018	0.61368	0.55286	0.44078	0.42398	0.46214	0.41607	0.43399	0.42361	0.39789	0.42878	0.43862	0.4802	0.43292	0.38762	0.40171	0.33881	0.36414	0.26278	0.27577	0.35838	0.34515	0.20281	0.026945	0.030485	0.032129	0.032561	0.032269	0.029521	0.028244	0.028468	0.027586	0.61368	0.41827	0.29947	-0.1188	0.063809	0.4568	0.54484	0.64539	0.74925	0.82473	0.58147	0.12641	0.62235	0.93345	0.94328	0.27532	0.26309	0.27493	0.23768	0.2471	0.2511	0.17973	0.20753	0.20224	0.19226	0.23193	0.16948	0.22761	0.19374	0.14991	0.19228	0.14396	0.063292	0.071546	0.054107	0.057205	0.14102	0.045476	0.0030997	0.003688	0.0076598	0.0010051	0.0058649	0.0075345	0.0017647	0.0072511	0.0017543	0.036236	0.25927	0.21599	0.23127	-0.12706	-0.14056	-0.14066	-0.1314	-0.090117	0.0032296	-0.090834	-0.00040142	0.048532	-0.022147	0.0066452	-0.077684	-0.0087058	0.027012	-0.035946	0.057275	0.030577	-0.051153	0.014558	0.020157	0.058773	0.12743	0.12949	-0.084294	-0.059221	0.12705	0.10012	-0.12096	-0.14137	-0.13579	0.13853	0.10113	0.22726	-0.0072565	0.18681	0.2028	0.00070197	-0.053849	-0.0037092	-0.014394	1.7522	667
0.013589	0.22595	0.28387	0.2974	0.24483	0.30168	0.38954	0.39739	0.3863	0.3948	0.43114	0.41794	0.38173	0.44059	0.4433	0.42115	0.39538	0.38852	0.43265	0.40744	0.39983	0.39051	0.355	0.19507	0.032065	0.028531	0.030435	0.032323	0.033551	0.026281	0.027223	0.039773	0.031757	0.4433	0.12006	0.032539	-0.087525	0.095194	0.12106	0.12316	0.12481	0.12526	0.11933	0.76945	0.14493	0.80622	0.82543	0.79517	0.018611	0.019709	0.02959	0.045502	0.061777	0.04668	0.040247	0.046527	0.062074	0.094767	0.077212	0.087778	0.063102	0.07415	0.098096	0.057781	0.04791	0.11845	0.063119	0.067867	0.066864	0.067411	0.045237	0.01207	0.0021291	0.0070026	0.0044689	0.0052826	0.0093603	0.0065062	0.0034604	0.0040976	0.19848	0.19182	0.19325	0.19754	-0.12025	0.14054	-0.12748	-0.1409	-0.026557	0.056116	-0.086662	0.10232	-0.12218	-0.030047	-0.11166	-0.091462	-0.10104	-0.12483	0.030713	-0.08406	-0.079599	-0.024819	-0.14122	-0.075564	-0.12977	0.10033	0.097868	0.13733	-0.028216	0.13953	-0.11661	-0.14115	0.14142	0.1414	0.14104	0.13202	0.09574	0.070286	0.27781	0.14031	-0.01475	-0.0096687	0.044729	-0.0041727	1.9228	388.5
0.012707	0.69934	0.35773	0.48108	0.3726	0.48557	0.58407	0.67147	0.72133	0.71754	0.64713	0.50128	0.40634	0.46685	0.56734	0.53362	0.48816	0.45819	0.4548	0.33294	0.26299	0.36124	0.52496	0.2275	0.043021	0.054963	0.061329	0.040368	0.039276	0.038823	0.032765	0.038057	0.035066	0.72133	0.024121	0.011539	-0.012583	0.096639	0.024248	0.024522	0.024705	0.024654	0.02333	0.79847	0.068381	0.15714	0.16487	0.16524	0.12084	0.14363	0.039989	0.02206	0.044207	0.044914	0.071054	0.062736	0.051761	0.063044	0.046496	0.041422	0.045405	0.046935	0.050469	0.051002	0.041197	0.044414	0.029467	0.027652	0.019743	0.040391	0.012787	0.0018022	0.0056828	0.018197	0.0086071	0.0046406	0.0048547	0.0028768	0.0022923	0.0010803	0.088007	0.09075	0.055697	0.082556	0.13455	0.13013	0.12932	0.10929	0.081617	-0.083601	-0.13436	-0.12823	-0.11071	-0.13454	-0.071033	-0.048322	-0.12096	-0.050839	0.039127	0.0009101	0.028742	0.024848	0.016397	-0.12397	-0.024317	0.13912	-0.10521	0.10189	0.13134	0.1414	-0.14061	0.10616	-0.069157	-0.099376	-0.125	0.0536	0.32443	0.73747	0.0062342	0.42507	0.09398	0.48159	-0.044544	0.22102	1.431	254.5
0.012043	0.72603	0.73331	0.59544	0.56986	0.59799	0.56734	0.65693	0.69098	0.68897	0.64997	0.50849	0.41268	0.47091	0.55894	0.51813	0.4817	0.44742	0.43983	0.32568	0.26194	0.35662	0.51134	0.22008	0.032112	0.05283	0.049063	0.040727	0.037874	0.039259	0.031607	0.036214	0.032937	0.73331	0.29986	0.18857	-0.11129	0.059523	0.33206	0.40715	0.49545	0.58935	0.66006	0.35969	0.21082	0.69589	0.64084	0.75449	0.12857	0.074251	0.11173	0.099146	0.068806	0.098954	0.1157	0.10881	0.095505	0.081973	0.070057	0.081744	0.14712	0.18655	0.20751	0.22962	0.18889	0.198	0.14436	0.12724	0.17136	0.24363	0.10239	0.01039	0.0036076	0.0041578	0.0017683	0.013928	0.0033218	0.0021486	0.0036888	0.0012503	0.026816	0.1739	0.1122	0.14334	0.074948	0.052492	0.060442	0.081763	-0.08715	-0.084845	0.10697	0.027332	0.031429	-0.05627	-0.14031	-0.045122	0.05656	0.074145	0.081157	0.10462	0.1028	0.10181	0.10616	0.10816	0.12091	0.13126	0.1355	0.13131	-0.12568	0.10726	0.135	0.13639	-0.10283	-0.13645	-0.13884	0.094182	0.45228	0.12277	0.11958	0.26836	0.13698	-0.029651	-0.022865	0.031731	1.6979	1583.5
0.013684	0.64951	0.65816	0.54914	0.5415	0.54338	0.49513	0.58758	0.62146	0.62067	0.58041	0.45519	0.35742	0.40369	0.48742	0.45107	0.43155	0.4033	0.38851	0.29217	0.23376	0.3252	0.47021	0.20205	0.03767	0.047601	0.044227	0.044165	0.037698	0.036171	0.029118	0.033504	0.030238	0.65816	0.47876	0.27106	-0.20769	0.079866	0.49995	0.54541	0.59204	0.63404	0.64885	0.32765	0.28156	0.9082	1.1341	1.2542	0.17258	0.12691	0.12764	0.12198	0.10334	0.23949	0.28375	0.30121	0.29899	0.2791	0.218	0.1594	0.19334	0.23219	0.2146	0.19514	0.17157	0.10448	0.13585	0.06819	0.093531	0.1626	0.072622	0.0034549	0.010136	0.004729	0.00075933	0.002527	0.0080145	0.0034966	0.0060868	0.0027914	0.035455	0.24997	0.14175	0.20168	0.089041	0.064705	-0.076748	-0.1374	-0.14141	0.11313	0.11505	0.11075	0.11794	0.12007	0.12493	0.11064	0.12493	0.13147	0.13306	0.141	0.14068	0.12621	0.14069	0.13668	0.14131	0.13454	0.13689	-0.061857	-0.11672	0.13603	-0.002425	0.10741	0.1391	0.1359	-0.13922	-0.13525	0.13189	0.0455	0.25406	0.28496	-0.012714	-0.037304	0.024611	0.035471	1.6679	2437.5
0.0075641	0.14582	0.17137	0.37328	0.17081	0.090151	0.16187	0.11628	0.17264	0.15849	0.53897	0.65624	0.87813	0.8448	0.83368	0.82873	0.77179	0.74614	0.64508	0.47974	0.27478	0.16925	0.55006	0.12024	0.059775	0.070631	0.095215	0.078784	0.073105	0.05858	0.069862	0.071818	0.068212	0.87813	0.47829	0.25595	-0.22234	0.053479	0.5411	0.69227	0.87795	1.0834	1.2391	0.26945	0.12104	0.68693	0.55091	0.60769	0.016564	0.025982	0.098582	0.040721	0.022115	0.053132	0.032167	0.046086	0.029966	0.14528	0.24902	0.2984	0.26158	0.30719	0.37308	0.34636	0.35366	0.29796	0.19308	0.13009	0.080235	0.24598	0.056992	0.008552	0.0058523	0.018017	0.0047306	0.005441	0.020745	0.0059723	0.0029556	0.0094819	0.035578	0.27238	0.062756	0.19737	0.081432	0.092845	0.14138	0.072145	-0.078809	0.11736	0.096309	0.12778	0.11133	0.12589	0.13264	0.12699	0.12403	0.13059	0.13484	0.13546	0.13775	0.13743	0.13846	0.13916	0.13756	0.13962	0.13773	-0.056269	-0.13888	0.098252	-0.066554	-0.13868	0.13141	0.13376	0.13909	0.14142	0.39934	0.1638	0.42006	0.46398	0.12085	-0.031056	0.1773	0.14466	1.2852	458
0.0075668	0.14995	0.16858	0.3635	0.16982	0.096499	0.16091	0.11675	0.1714	0.15857	0.53793	0.65504	0.87795	0.84358	0.83325	0.82813	0.77131	0.74571	0.64471	0.47919	0.27474	0.16865	0.549	0.12046	0.059036	0.07108	0.094786	0.078627	0.072705	0.05749	0.069323	0.071287	0.068955	0.87795	0.47548	0.24141	-0.23406	0.057102	0.53092	0.6618	0.81836	0.98754	1.116	0.24793	0.17418	0.65513	0.63731	0.60097	0.016223	0.021093	0.089263	0.042874	0.017905	0.033511	0.055346	0.081071	0.075003	0.25423	0.30959	0.415	0.39877	0.39385	0.39145	0.31779	0.26641	0.15119	0.15133	0.045953	0.0095104	0.049518	0.025464	0.0048955	0.0064064	0.0067891	0.028687	0.015727	0.0060611	0.01578	0.0062409	0.014073	0.032737	0.30832	0.064286	0.21351	-0.13791	-0.12269	-0.044504	0.10485	-0.098701	0.12364	0.13443	0.1404	0.14041	0.14139	0.14138	0.14119	0.14113	0.14126	0.1412	0.14117	0.14066	0.13736	0.13944	0.14074	0.12464	0.094337	0.14078	-0.040445	-0.11877	-0.085668	0.13971	-0.11832	-0.046546	-0.13491	0.097085	0.14072	0.29237	0.21592	0.55141	0.5379	0.068859	-0.010991	0.28105	0.21291	1.0777	535
0.0099444	0.21846	0.36243	0.43795	0.32818	0.31699	0.39415	0.45981	0.24663	0.17894	0.2632	0.3546	0.26351	0.20949	0.32382	0.3224	0.36019	0.45963	0.48411	0.48974	0.40741	0.31033	0.36548	0.11441	0.034343	0.027753	0.04757	0.028977	0.027382	0.036192	0.030703	0.029964	0.031828	0.48974	0.19574	0.11034	-0.085399	0.060425	0.21611	0.2634	0.31867	0.37709	0.42085	0.50845	0.21061	0.70196	0.64331	0.71063	0.037456	0.042424	0.083243	0.067768	0.084663	0.082755	0.046509	0.04832	0.027851	0.032836	0.03292	0.02225	0.0064823	0.052288	0.12627	0.17168	0.21777	0.23041	0.2346	0.19263	0.10192	0.002386	0.0051788	0.00083559	0.0063837	0.0034215	0.005082	0.0049947	0.0043277	0.0013891	0.001647	0.0036138	0.18333	0.22557	0.19768	0.20719	0.13217	0.03017	0.047027	0.11852	-0.039551	-0.0030463	0.01966	0.12705	-0.12123	-0.13999	0.14067	-0.021398	0.053013	-0.0058897	0.10387	0.13076	0.13824	0.13258	0.12468	0.14083	0.13453	0.14105	-0.14051	0.13823	0.14125	0.14022	0.12652	-0.13697	0.13821	0.045566	-0.013647	-0.1324	0.45691	0.16931	0.31423	0.28961	0.13877	-0.012309	0.042603	0.032036	1.5372	623
